"ENSEMBL","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000091513.16","TF",126.479980212524,-2.11080220055323,0.249425409212675,-8.4626590659552,2.61348910319279e-17,3.94244831216632e-13
"ENSG00000109906.15","ZBTB16",625.759351842109,-1.58418975022772,0.221713165667728,-7.14522182503984,8.98506726057056e-13,6.77698698128534e-09
"ENSG00000271447.6","MMP28",1105.95723232665,-0.821581309354352,0.122070834940742,-6.73036528138091,1.69237679296916e-11,8.50983464064661e-08
"ENSG00000181019.13","NQO1",2965.30514675391,0.905932320713339,0.143880813751949,6.2964080970182,3.04621746247325e-10,1.14880476053522e-06
"ENSG00000168878.19","SFTPB",2021.13082996713,-2.17363531218298,0.353355476403168,-6.15141255007162,7.6795867077779e-10,2.31693130973659e-06
"ENSG00000167779.9","IGFBP6",1343.79816847355,-1.95403622816043,0.32591067885936,-5.99561890699402,2.02711902578573e-09,5.09651508399629e-06
"ENSG00000144810.16","COL8A1",113.949049985688,-1.8171396818825,0.318940289809702,-5.6974290798027,1.21627549328608e-08,2.62107368803151e-05
"ENSG00000151012.13","SLC7A11",523.708673573206,1.79969358145495,0.329173041658483,5.46731765270784,4.56896835210383e-08,8.61536094893578e-05
"ENSG00000117643.15","MAN1C1",1446.08440816755,-1.08913374500383,0.204330760696876,-5.33024856996228,9.80784324023057e-08,0.000164390350309865
"ENSG00000035664.11","DAPK2",443.018972850438,-0.849345163100152,0.160807163800656,-5.28176197518812,1.27947360158882e-07,0.000193008592799673
"ENSG00000006210.7","CX3CL1",2516.07299543344,0.423347810826729,0.0819229444611071,5.16763421543903,2.37075713093455e-07,0.000325117012001342
"ENSG00000115112.8","TFCP2L1",3544.42390897546,-0.932930246238532,0.181495659012735,-5.14023448997791,2.74395811880348e-07,0.000344938401851255
"ENSG00000162496.9","DHRS3",6893.4664981915,-0.765558722336422,0.15002672716045,-5.10281559043591,3.34637050500224e-07,0.000373011906758241
"ENSG00000167703.15","SLC43A2",1663.87932941279,-0.524214936166817,0.102859953740975,-5.09639482715413,3.46182744091175e-07,0.000373011906758241
"ENSG00000140465.15","CYP1A1",507.038254775064,-1.00783614647656,0.198391711704961,-5.08003150845015,3.77372272718928e-07,0.000379510715597669
"ENSG00000167759.13","KLK13",747.88956397925,-0.837176803219264,0.166242452991584,-5.0358785505989,4.75662088915654e-07,0.00044846016320579
